28375,,,88,ARISTOXENUS,,,,28375,,
28230,,,1443,IGNATIUS,28230,,,0,,
27576,,,1733,TIMAEUS,,,,27576,,
27332,,,1390,HECATAEUS,,,,27332,,
26970,,,1377,FAVORINUS,,,,26970,,
26739,,,566,THEOPOMPUS,,,,26739,,
25773,,,2063,GREGORIUS THAUMATURGUS,,,,25773,,
25726,,,1342,EMPEDOCLES,,,,25726,,
25107,,,547,ANAXIMENES,,,,25107,,
24880,,,1272,CLEOMEDES,,,,24880,,
23750,,,1600,Philostratus 05,,,,23750,,
23564,,,1248,CELSUS,,,,23564,,
23499,,,536,EPHORUS,,,,23499,,
23274,,,564,RUFUS,,,,23274,,
22910,,,23,OPPIANUS,,,,22910,,
22759,,,28,ANTIPHON,,,,22759,,
22661,,,1383,GEMINUS,,,,22661,,
22347,,,5,THEOCRITUS,,,,22347,,
21963,,,1725,THEOPHILUS,,,,21963,,
21684,,,1569,PAUSANIAS,,,,21684,,
21681,,,1358,EUDOXUS,,,,21681,,
21426,,,2027,Apsines Valerius,,,,21426,,
21273,,,98,ZENOBIUS Sophista,,,,21273,,
21109,,,635,Zeno Phil. 02,,,,21109,,
21049,,,1700,Testamenta xii patriarcharum,,,,21049,,
20929,,,561,LONGUS,,,,20929,,
20910,,,2679,Testamentum Salomonis,,,,20910,,
20895,,,1357,EUDEMUS,,,,20895,,
20780,,,1205,ATHENAGORAS,,,,20780,,
20728,,,1152,APION,,,,20728,,
20694,,,1599,PHILO,,,,20694,,
20462,,,29,Dinarchus 03,,,,20462,,
20363,,,30,HYPERIDES,,,,20363,,
20324,,,640,ALCIPHRON,,,,20324,,
19960,,,539,HELLANICUS,,,,19960,,
19918,,,67,AGATHARCHIDES,,,,19918,,
19627,,,708,Ammonius,,,,19627,,
19034,,,607,Theon,,,,19034,,
18336,,,53,Phalaridis epistulae,,,,18336,,
18198,,,628,Musonius Rufus,,,,18198,,
18070,,,27,ANDOCIDES,,,,18070,,
17788,,,583,PHILOCHORUS,,,,17788,,
17219,,,641,XENOPHON,,,,17219,,
16569,,,97,Diogenianus,,,,16569,,
16335,,,1942,NEARCHUS,,,,16335,,
16183,,,13,&3HYMNI HOMERICI,,,,16183,,
16097,,,84,Dionysius 31,,,,16097,,
